ID Loja,Loja,Bairro,ID Produto,Produto,Categoria,Subcategoria,Imagem,Custo Unit,Preço Unit,Saldo_Atual,Unidades_Vendidas_Janela,Venda_Media_Diaria,Estoque_Minimo_Rede,Status_Estoque_Rede,Qtd_Em_Falta_Rede,Indice_Cobertura_Minimo_Rede,Nivel_Criticidade_Rede,Custo_Reposicao_Estimado_Rede,Valor_Venda_Gap_Reposicao_Rede,Margem_Potencial_Gap_Rede,Faturamento_Potencial_Perdido_Rede,Lucro_Potencial_Perdido_Rede,Janela_Demanda_Dias,Receita_Media_Diaria_Local,Cobertura_Dias_Local,Deficit_Local_Para_Zero,Margem_Unitaria,Custo_Deficit_Local,Valor_Venda_Deficit_Local,Margem_Deficit_Local,Status_Local,Estoque Mínimo,Status_Estoque,Qtd_Em_Falta,Faturamento_Potencial_Perdido,Lucro_Potencial_Perdido,Escopo_Metricas_Globais
2,Norte Shopping,Cachambi - RJ,33,BOLSA FITNESS POWER 55 LITROS PRETA DOMYOS,Acessórios,Bolsas,https://decathlonpro.vteximg.com.br/arquivos/ids/2322380-500-500/fitness-bag-55l-blue-55l1.jpg?v=636904144015300000,44.9900,149.9900,-11.0000,31.0000,0.3444,20.0000,Abaixo do Mínimo,20.0000,0.0000,CRÍTICO,899.8000,2999.8000,2100.0000,2999.8000,2100.0000,90,51.6632,0.0000,11.0000,105.0000,494.8900,1649.8900,1155.0000,RUPTURA LOCAL,20.0000,Abaixo do Mínimo,20.0000,2999.8000,2100.0000,REDE_NAO_SOMAR
3,Shopping da Gávea,Gávea - RJ,33,BOLSA FITNESS POWER 55 LITROS PRETA DOMYOS,Acessórios,Bolsas,https://decathlonpro.vteximg.com.br/arquivos/ids/2322380-500-500/fitness-bag-55l-blue-55l1.jpg?v=636904144015300000,44.9900,149.9900,-24.0000,26.0000,0.2889,20.0000,Abaixo do Mínimo,20.0000,0.0000,CRÍTICO,899.8000,2999.8000,2100.0000,2999.8000,2100.0000,90,43.3304,0.0000,24.0000,105.0000,1079.7600,3599.7600,2520.0000,RUPTURA LOCAL,20.0000,Abaixo do Mínimo,20.0000,2999.8000,2100.0000,REDE_NAO_SOMAR
4,Barra Shopping,Barra da Tijuca - RJ,33,BOLSA FITNESS POWER 55 LITROS PRETA DOMYOS,Acessórios,Bolsas,https://decathlonpro.vteximg.com.br/arquivos/ids/2322380-500-500/fitness-bag-55l-blue-55l1.jpg?v=636904144015300000,44.9900,149.9900,-24.0000,16.0000,0.1778,20.0000,Abaixo do Mínimo,20.0000,0.0000,CRÍTICO,899.8000,2999.8000,2100.0000,2999.8000,2100.0000,90,26.6649,0.0000,24.0000,105.0000,1079.7600,3599.7600,2520.0000,RUPTURA LOCAL,20.0000,Abaixo do Mínimo,20.0000,2999.8000,2100.0000,REDE_NAO_SOMAR
1,Botafogo Praia Shopping,Botagogo - RJ,25,TÊNIS FITNESS MASCULINO PRETO LINHA 900,Calçados,Tênis Corrida,https://decathlonpro.vteximg.com.br/arquivos/ids/2371257-1000-1000/tenis-fitness-masculino-cardio-training-linha-900-tam-42-cor-preto-domyos1.jpg?v=636979552654570000,74.9900,249.9900,-63.0000,98.0000,1.0889,18.0000,Abaixo do Mínimo,1.0000,0.9444,ATENÇÃO,74.9900,249.9900,175.0000,249.9900,175.0000,90,272.2113,0.0000,63.0000,175.0000,4724.3700,15749.3700,11025.0000,RUPTURA LOCAL,18.0000,Abaixo do Mínimo,1.0000,249.9900,175.0000,REDE_NAO_SOMAR
2,Norte Shopping,Cachambi - RJ,5,"BERMUDA MASCULINA ""REPS"" VERMELHA - LINHA 500",Roupas,Bermudas,https://decathlonpro.vteximg.com.br/arquivos/ids/2350361-1000-1000/bermuda-crosstraining-tecido-elastico-domyos-01.png?v=636936268190900000,32.9900,109.9900,-58.0000,100.0000,1.1111,34.0000,Abaixo do Mínimo,2.0000,0.9412,ATENÇÃO,65.9800,219.9800,154.0000,219.9800,154.0000,90,122.2111,0.0000,58.0000,77.0000,1913.4200,6379.4200,4466.0000,RUPTURA LOCAL,34.0000,Abaixo do Mínimo,2.0000,219.9800,154.0000,REDE_NAO_SOMAR
3,Shopping da Gávea,Gávea - RJ,25,TÊNIS FITNESS MASCULINO PRETO LINHA 900,Calçados,Tênis Corrida,https://decathlonpro.vteximg.com.br/arquivos/ids/2371257-1000-1000/tenis-fitness-masculino-cardio-training-linha-900-tam-42-cor-preto-domyos1.jpg?v=636979552654570000,74.9900,249.9900,-19.0000,43.0000,0.4778,18.0000,Abaixo do Mínimo,1.0000,0.9444,ATENÇÃO,74.9900,249.9900,175.0000,249.9900,175.0000,90,119.4397,0.0000,19.0000,175.0000,1424.8100,4749.8100,3325.0000,RUPTURA LOCAL,18.0000,Abaixo do Mínimo,1.0000,249.9900,175.0000,REDE_NAO_SOMAR
2,Norte Shopping,Cachambi - RJ,10,CAMISETA FITNESS MASCULINA FST500 VERDE CAQUI,Roupas,Camisetas,https://decathlonpro.vteximg.com.br/arquivos/ids/2365408-1000-1000/camiseta-fitness-masculina-cardio-training-linha-fst500-tam-p-cor-verde-caqui-domyos1.jpg?v=636970038954430000,23.9900,79.9900,-4.0000,123.0000,1.3667,168.0000,Abaixo do Mínimo,1.0000,0.9940,ATENÇÃO,23.9900,79.9900,56.0000,79.9900,56.0000,90,109.3197,0.0000,4.0000,56.0000,95.9600,319.9600,224.0000,RUPTURA LOCAL,168.0000,Abaixo do Mínimo,1.0000,79.9900,56.0000,REDE_NAO_SOMAR
1,Botafogo Praia Shopping,Botagogo - RJ,22,TÊNIS FITNESS MASCULINO VERMELHO/PRETO LINHA 500,Calçados,Tênis Corrida,https://decathlonpro.vteximg.com.br/arquivos/ids/2365214-1000-1000/tenis-fitness-cardio-masculino-linha-501.jpg?v=636969931556270000,26.9900,89.9900,-52.0000,105.0000,1.1667,38.0000,Abaixo do Mínimo,2.0000,0.9474,ATENÇÃO,53.9800,179.9800,126.0000,179.9800,126.0000,90,104.9883,0.0000,52.0000,63.0000,1403.4800,4679.4800,3276.0000,RUPTURA LOCAL,38.0000,Abaixo do Mínimo,2.0000,179.9800,126.0000,REDE_NAO_SOMAR
2,Norte Shopping,Cachambi - RJ,23,TÊNIS FITNESS MASCULINO PRETO/CINZA LINHA 500,Calçados,Tênis Corrida,https://decathlonpro.vteximg.com.br/arquivos/ids/2184518-1000-1000/shoes-fitness-500-m-black--uk-7---eu-411.jpg?v=636733698622870000,26.9900,89.9900,-4.0000,104.0000,1.1556,63.0000,Abaixo do Mínimo,4.0000,0.9365,ATENÇÃO,107.9600,359.9600,252.0000,359.9600,252.0000,90,103.9884,0.0000,4.0000,63.0000,107.9600,359.9600,252.0000,RUPTURA LOCAL,63.0000,Abaixo do Mínimo,4.0000,359.9600,252.0000,REDE_NAO_SOMAR
2,Norte Shopping,Cachambi - RJ,22,TÊNIS FITNESS MASCULINO VERMELHO/PRETO LINHA 500,Calçados,Tênis Corrida,https://decathlonpro.vteximg.com.br/arquivos/ids/2365214-1000-1000/tenis-fitness-cardio-masculino-linha-501.jpg?v=636969931556270000,26.9900,89.9900,-29.0000,85.0000,0.9444,38.0000,Abaixo do Mínimo,2.0000,0.9474,ATENÇÃO,53.9800,179.9800,126.0000,179.9800,126.0000,90,84.9906,0.0000,29.0000,63.0000,782.7100,2609.7100,1827.0000,RUPTURA LOCAL,38.0000,Abaixo do Mínimo,2.0000,179.9800,126.0000,REDE_NAO_SOMAR
