ID Produto,Produto,Categoria,Subcategoria,Imagem,Custo Unit,Preço Unit,Estoque Mínimo,Saldo_Atual,Unidades_Vendidas_Janela,Venda_Media_Diaria,Janela_Demanda_Dias,Status_Estoque,Qtd_Em_Falta,Indice_Cobertura_Minimo,Nivel_Criticidade,Margem_Unitaria,Custo_Reposicao_Estimado,Valor_Venda_Gap_Reposicao,Margem_Potencial_Gap,Receita_Media_Diaria,Cobertura_Dias,Faturamento_Potencial_Perdido,Lucro_Potencial_Perdido
33,BOLSA FITNESS POWER 55 LITROS PRETA DOMYOS,Acessórios,Bolsas,https://decathlonpro.vteximg.com.br/arquivos/ids/2322380-500-500/fitness-bag-55l-blue-55l1.jpg?v=636904144015300000,44.9900,149.9900,20.0000,0.0000,142.0000,1.5778,90,Abaixo do Mínimo,20.0000,0.0000,CRÍTICO,105.0000,899.8000,2999.8000,2100.0000,236.6509,0.0000,2999.8000,2100.0000
24,TÊNIS FITNESS MASCULINO PRETO LINHA 100,Calçados,Tênis Corrida,https://decathlonpro.vteximg.com.br/arquivos/ids/2363821-1000-1000/tenis-fitness-cardio-masculino-linha-101.jpg?v=636963736443270000,35.9900,119.9900,356.0000,333.0000,387.0000,4.3000,90,Abaixo do Mínimo,23.0000,0.9354,ATENÇÃO,84.0000,827.7700,2759.7700,1932.0000,515.9570,77.4419,2759.7700,1932.0000
17,CASACO MASCULINO GINÁSTICA SPACER,Roupas,Jaquetas,https://decathlonpro.vteximg.com.br/arquivos/ids/2439867-1000-1000/jacket-hood-560-gym-men-marine-s1.jpg?v=637114928712130000,56.9900,189.9900,128.0000,125.0000,107.0000,1.1889,90,Abaixo do Mínimo,3.0000,0.9766,ATENÇÃO,133.0000,170.9700,569.9700,399.0000,225.8770,105.1402,569.9700,399.0000
12,CAMISETA FITNESS MASCULINA FST500 AZUL/AZUL MARINHO,Roupas,Camisetas,https://decathlonpro.vteximg.com.br/arquivos/ids/2365346-1000-1000/fts500-print-m-t-shirt-deb-s1.jpg?v=636970028665470000,17.9900,59.9900,118.0000,109.0000,472.0000,5.2444,90,Abaixo do Mínimo,9.0000,0.9237,ATENÇÃO,42.0000,161.9100,539.9100,378.0000,314.6142,20.7839,539.9100,378.0000
23,TÊNIS FITNESS MASCULINO PRETO/CINZA LINHA 500,Calçados,Tênis Corrida,https://decathlonpro.vteximg.com.br/arquivos/ids/2184518-1000-1000/shoes-fitness-500-m-black--uk-7---eu-411.jpg?v=636733698622870000,26.9900,89.9900,63.0000,59.0000,343.0000,3.8111,90,Abaixo do Mínimo,4.0000,0.9365,ATENÇÃO,63.0000,107.9600,359.9600,252.0000,342.9619,15.4810,359.9600,252.0000
30,LUVAS ACADEMIA / MEIA PALMA MUSCULAÇÃO NEOPRENE (O PAR),Acessórios,Luvas,https://decathlonpro.vteximg.com.br/arquivos/ids/2299613-1000-1000/-meia-luva-muscu-pto-domyos-eu-m-us-s1.jpg?v=636885188513800000,7.7900,25.9900,149.0000,136.0000,218.0000,2.4222,90,Abaixo do Mínimo,13.0000,0.9128,ATENÇÃO,18.2000,101.2700,337.8700,236.6000,62.9536,56.1468,337.8700,236.6000
25,TÊNIS FITNESS MASCULINO PRETO LINHA 900,Calçados,Tênis Corrida,https://decathlonpro.vteximg.com.br/arquivos/ids/2371257-1000-1000/tenis-fitness-masculino-cardio-training-linha-900-tam-42-cor-preto-domyos1.jpg?v=636979552654570000,74.9900,249.9900,18.0000,17.0000,340.0000,3.7778,90,Abaixo do Mínimo,1.0000,0.9444,ATENÇÃO,175.0000,74.9900,249.9900,175.0000,944.4067,4.5000,249.9900,175.0000
5,"BERMUDA MASCULINA ""REPS"" VERMELHA - LINHA 500",Roupas,Bermudas,https://decathlonpro.vteximg.com.br/arquivos/ids/2350361-1000-1000/bermuda-crosstraining-tecido-elastico-domyos-01.png?v=636936268190900000,32.9900,109.9900,34.0000,32.0000,347.0000,3.8556,90,Abaixo do Mínimo,2.0000,0.9412,ATENÇÃO,77.0000,65.9800,219.9800,154.0000,424.0726,8.2997,219.9800,154.0000
22,TÊNIS FITNESS MASCULINO VERMELHO/PRETO LINHA 500,Calçados,Tênis Corrida,https://decathlonpro.vteximg.com.br/arquivos/ids/2365214-1000-1000/tenis-fitness-cardio-masculino-linha-501.jpg?v=636969931556270000,26.9900,89.9900,38.0000,36.0000,338.0000,3.7556,90,Abaixo do Mínimo,2.0000,0.9474,ATENÇÃO,63.0000,53.9800,179.9800,126.0000,337.9624,9.5858,179.9800,126.0000
8,CALÇA MASCULINA 500,Roupas,Calças,https://decathlonpro.vteximg.com.br/arquivos/ids/2304670-1000-1000/trousers500-slim-zip-gym-d-xs---w28-l331.jpg?v=636887017655970000,38.9900,129.9900,24.0000,23.0000,497.0000,5.5222,90,Abaixo do Mínimo,1.0000,0.9583,ATENÇÃO,91.0000,38.9900,129.9900,91.0000,717.8337,4.1650,129.9900,91.0000
