Mes_Abertura,Quantidade_Chamados
2017-01-01,321
2017-02-01,310
2017-03-01,358
2017-04-01,345
2017-05-01,328
2017-06-01,359
2017-07-01,337
2017-08-01,342
2017-09-01,310
2017-10-01,329
2017-11-01,297
2017-12-01,364
2018-01-01,313
2018-02-01,316
2018-03-01,379
2018-04-01,315
2018-05-01,322
2018-06-01,329
2018-07-01,315
2018-08-01,318
2018-09-01,347
2018-10-01,333
2018-11-01,319
2018-12-01,330
2019-01-01,318
2019-02-01,335
2019-03-01,374
2019-04-01,348
2019-05-01,346
2019-06-01,329
2019-07-01,368
2019-08-01,323
2019-09-01,329
2019-10-01,359
2019-11-01,340
2019-12-01,294
